active_users,search_count_last_1hr,booking_rate,available_inventory,total_inventory,cancellation_rate,day_of_week,is_weekend,is_holiday,time_to_event,distance_km,local_event_score,avg_competitor_price,user_loyalty_score,dynamic_price
1176,223,0.29860221582277724,491,264,0.1985414610920138,3,0,0,100,172,7.541284425726264,2030,0.902309397058542,3141.528772035901
1509,378,0.39591829173301063,249,431,0.22114716128288162,1,0,0,70,1919,4.496197199348671,2778,0.15116298892865643,8000.0
910,863,0.1393137887088061,22,94,0.22154906913444267,1,1,1,66,981,7.185148028491137,2974,0.8550057297117633,8000.0
1344,123,0.3192763416546749,144,454,0.03320214828682017,5,1,1,93,1440,5.375414072859619,2879,0.6184108088628385,8000.0
1180,763,0.424707855467196,402,221,0.26552683638848096,5,1,1,69,855,8.13395556057819,2791,0.021734525424859097,6559.964714710046
1145,512,0.23588990927962544,499,270,0.08425011087686593,1,0,0,79,1317,7.720655495541976,3092,0.7574302159222381,7550.762534222956
1774,645,0.5488519250758361,86,434,0.06297333229896795,5,0,0,8,1896,9.758521690469177,4670,0.41283634318818685,8000.0
1094,826,0.5899102113307757,193,144,0.1843372430812802,4,0,1,98,1487,1.0493806764270608,4141,0.3961389558482791,8000.0
1688,597,0.23329053390950882,112,396,0.06355472233015004,0,1,0,117,1867,3.407049066854154,3019,0.3828000616256836,8000.0
171,320,0.5886734365997954,238,93,0.1524115478565072,4,1,1,55,400,1.9237680548489577,3833,0.5965583231560269,6199.179517025603
516,478,0.08146783061108036,272,277,0.12210890896361214,6,1,0,37,1883,6.307680835820349,2249,0.7142145480046425,6447.685669843519
1288,833,0.5880330780496328,108,111,0.06961027878855523,6,1,1,90,480,6.640276978998511,3651,0.6476425068819833,8000.0
380,717,0.11539779785065543,415,366,0.0876178897505034,2,1,1,73,1988,2.038106839188277,2027,0.24176192613078118,5832.953846796122
1532,872,0.06721973523171096,138,268,0.1282221694082589,6,0,1,72,1945,4.215526000290579,2456,0.7068022235898707,8000.0
137,53,0.4528250290642977,348,384,0.10384810389455947,0,1,0,14,638,6.021502225529055,3472,0.13551765113005454,5910.962222300546
1446,424,0.3356367823711531,375,138,0.11447273531147686,1,0,1,48,1160,6.589532016326924,4851,0.9713409841239453,8000.0
1173,707,0.6364445142848546,37,161,0.22063038647107155,1,1,1,89,1028,1.0264698441252118,4836,0.47361343462235395,8000.0
